abstention_rate,accepted_relation_precision,accepted_route_accuracy,ambiguous_reject_reason_rate,aurc,average_candidate_set_size,benchmark,cross_intent_candidate_access_count,empty_candidate_set_rate,false_memory_access_rate,intent_macro_accuracy,known_accuracy,known_coverage,known_row_count,memory_access_count,multi_candidate_set_rate,oos_aupr,oos_auroc,oos_f1,oos_precision,oos_recall,row_count,safe_coverage,seed,unknown_reject_reason_rate,unknown_row_count,variant,worst_intent_accuracy,wrong_bucket_access_rate
0.6970909090909091,0.7250900360144058,0.9861224489795918,0.0,0.47231452040223487,0.3029090909090909,clinc150,0,0.6970909090909091,0.11025,0.8053333333333333,0.8053333333333333,0.8166666666666667,1500,1666,0.0,0.9746787208971411,0.9362826666666667,0.9086035231044167,0.9282733437663016,0.88975,5500,0.8053333333333333,2507,0.6970909090909091,4000,MAX_THRESHOLD,0.1,0.011333333333333334
0.9354545454545454,0.9492957746478873,0.9970414201183432,0.0009090909090909091,0.770263042211179,0.06563636363636363,clinc150,0,0.9345454545454546,0.00425,0.22466666666666665,0.22466666666666665,0.22533333333333333,1500,355,0.0001818181818181818,0.9746787208971411,0.9362826666666667,0.871077091306725,0.7741496598639456,0.99575,5500,0.22466666666666665,2507,0.9345454545454546,4000,R3,0.0,0.0006666666666666666
0.0,0.6297413793103448,0.9365384615384615,0.0,0.143580999697634,1,banking77_open,0,0.0,1.0,0.9365384615384615,0.9365384615384615,1.0,1560,2320,0.0,0.6751081677509455,0.83,0.0,0.0,0.0,2320,0.9365384615384615,2507,0.0,760,R0,0.675,0.06346153846153846
0.0,0.6103448275862069,0.9076923076923077,0.0,0.15300411075979703,1,banking77_open,0,0.0,1.0,0.9076923076923077,0.9076923076923077,1.0,1560,2320,0.0,0.7465308984611003,0.8596002024291498,0.0,0.0,0.0,2320,0.9076923076923077,2507,0.0,760,R2,0.625,0.09230769230769231
0.3767241379310345,0.822268326417704,0.9391785150078988,0.0,0.18164823772223726,0.6232758620689656,banking77_open,0,0.3767241379310345,0.23684210526315788,0.7621794871794871,0.7621794871794871,0.8115384615384615,1560,1446,0.0,0.7465308984611003,0.8596002024291498,0.7099143206854345,0.6636155606407322,0.7631578947368421,2320,0.7621794871794871,2507,0.3767241379310345,760,MAX_THRESHOLD,0.375,0.04935897435897436
0.8650862068965517,0.9808306709265175,0.9903225806451613,0.0,0.6012090056836344,0.13491379310344828,banking77_open,0,0.8650862068965517,0.003947368421052632,0.1967948717948718,0.1967948717948718,0.1987179487179487,1560,313,0.0,0.7465308984611003,0.8596002024291498,0.547162992410553,0.37717987045341306,0.9960526315789474,2320,0.1967948717948718,2507,0.8650862068965517,760,R3,0.025,0.0019230769230769232
0.0,0.8931818181818182,0.8931818181818182,0.0,0.02066391254369772,1,banking77_closed,0,0.0,0.0,0.8931818181818182,0.8931818181818182,1.0,3080,3080,0.0,0.0,0.0,0.0,0.0,0.0,3080,0.8931818181818182,2507,0.0,0,R0,0.325,0.10681818181818181
0.0,0.8564935064935065,0.8564935064935065,0.0,0.06717297407449031,1,banking77_closed,0,0.0,0.0,0.8564935064935065,0.8564935064935065,1.0,3080,3080,0.0,0.0,0.0,0.0,0.0,0.0,3080,0.8564935064935065,2507,0.0,0,R2,0.475,0.1435064935064935
0.0,0.2667272727272727,0.978,0.0,0.40718067996889884,1,clinc150,0,0.0,1.0,0.978,0.978,1.0,1500,5500,0.0,0.9799325293971899,0.9566428333333333,0.0,0.0,0.0,5500,0.978,2508,0.0,4000,R0,0.7333333333333333,0.022
0.0,0.262,0.9606666666666667,0.0,0.4493165090714161,1,clinc150,0,0.0,1.0,0.9606666666666667,0.9606666666666667,1.0,1500,5500,0.0,0.9643655766838642,0.9156199166666666,0.0,0.0,0.0,5500,0.9606666666666667,2508,0.0,4000,R2,0.7,0.03933333333333333
0.6998181818181818,0.705632949727438,0.9814658803706824,0.0,0.49338676241641044,0.30018181818181816,clinc150,0,0.6998181818181818,0.116,0.7766666666666667,0.7766666666666666,0.7913333333333333,1500,1651,0.0,0.9643655766838642,0.9156199166666666,0.9010064976430119,0.9186801766692647,0.884,5500,0.7766666666666666,2508,0.6998181818181818,4000,MAX_THRESHOLD,0.0,0.014666666666666666
